datetime_beginning_utc,datetime_beginning_ept,datetime_ending_utc,datetime_ending_ept,duration,day_ahead_congestion_event,monitored_facility,contingency_facility
4/20/2019 10:00:00 PM,4/20/2019 6:00:00 PM,4/20/2019 11:00:00 PM,4/20/2019 7:00:00 PM,1,EASTON  69 KV   EAS-EMU,EASTON  69 KV   EAS-EMU,ACTUAL
4/20/2019 10:00:00 PM,4/20/2019 6:00:00 PM,4/20/2019 11:00:00 PM,4/20/2019 7:00:00 PM,1,NEWCASOE69 KV   TR1,NEWCASOE69 KV   TR1,ACTUAL
4/20/2019 8:00:00 PM,4/20/2019 4:00:00 PM,4/20/2019 9:00:00 PM,4/20/2019 5:00:00 PM,1,NPHILADE230 KV  NPH-WAN,NPHILADE230 KV  NPH-WAN,L500.HopeCreek-RedLion.5015
4/20/2019 8:00:00 PM,4/20/2019 4:00:00 PM,4/20/2019 9:00:00 PM,4/20/2019 5:00:00 PM,1,RAMAPO  138 KV  RAM-SMA,RAMAPO  138 KV  RAM-SMA,ACTUAL
4/20/2019 7:00:00 PM,4/20/2019 3:00:00 PM,4/20/2019 8:00:00 PM,4/20/2019 4:00:00 PM,1,BISHOPHI138 KV  TRAN 1,BISHOPHI138 KV  TRAN 1,ACTUAL
4/20/2019 6:00:00 PM,4/20/2019 2:00:00 PM,4/20/2019 7:00:00 PM,4/20/2019 3:00:00 PM,1,HAUTO   69 KV   HAU-SIE1,HAUTO   69 KV   HAU-SIE1,ACTUAL
4/20/2019 4:00:00 PM,4/20/2019 12:00:00 PM,4/20/2019 9:00:00 PM,4/20/2019 5:00:00 PM,5,DUMONT2 765 KV  T3,DUMONT2 765 KV  T3,L765.Dumont-Greentown
4/20/2019 3:00:00 PM,4/20/2019 11:00:00 AM,4/20/2019 4:00:00 PM,4/20/2019 12:00:00 PM,1,EASTON  69 KV   EAS-EMU,EASTON  69 KV   EAS-EMU,ACTUAL
4/20/2019 3:00:00 PM,4/20/2019 11:00:00 AM,4/20/2019 5:00:00 PM,4/20/2019 1:00:00 PM,2,RAMAPO  138 KV  RAM-SMA,RAMAPO  138 KV  RAM-SMA,ACTUAL
4/20/2019 2:00:00 PM,4/20/2019 10:00:00 AM,4/20/2019 4:00:00 PM,4/20/2019 12:00:00 PM,2,FACEROCK69 KV   FAROZBR,FACEROCK69 KV   FAROZBR,L500.Conastone-PeachBottom.5012
4/20/2019 1:00:00 PM,4/20/2019 9:00:00 AM,4/20/2019 2:00:00 PM,4/20/2019 10:00:00 AM,1,BIGBY   115 KV  GSU1,BIGBY   115 KV  GSU1,ACTUAL
4/20/2019 11:00:00 AM,4/20/2019 7:00:00 AM,4/20/2019 6:00:00 PM,4/20/2019 2:00:00 PM,7,KRENDALE138 KV  KRE-SHA,KRENDALE138 KV  KRE-SHA,L500.Cabot-Cranberry
4/20/2019 11:00:00 AM,4/20/2019 7:00:00 AM,4/20/2019 12:00:00 PM,4/20/2019 8:00:00 AM,1,RAMAPO  138 KV  RAM-SMA,RAMAPO  138 KV  RAM-SMA,ACTUAL
4/20/2019 10:00:00 AM,4/20/2019 6:00:00 AM,4/20/2019 11:00:00 AM,4/20/2019 7:00:00 AM,1,BOSSERMN138 KV  BOS-NEW2,BOSSERMN138 KV  BOS-NEW2,L138.Bosserman-NewCarlisle
4/20/2019 10:00:00 AM,4/20/2019 6:00:00 AM,4/20/2019 11:00:00 AM,4/20/2019 7:00:00 AM,1,MARQUIS2345 KV  MAR-DOE2,MARQUIS2345 KV  MAR-DOE2,L345.Pierce-Foster
4/20/2019 10:00:00 AM,4/20/2019 6:00:00 AM,4/20/2019 1:00:00 PM,4/20/2019 9:00:00 AM,3,McCracken - Bryan Rd 161 kV l/o Shawnee - C31 Marshall 161 kV,McCracken - Bryan Rd 161 kV l/o Shawnee - C31 Marshall 161 kV,L161.Shawnee-Marshall.C31(TVA)
4/20/2019 10:00:00 AM,4/20/2019 6:00:00 AM,4/20/2019 11:00:00 PM,4/20/2019 7:00:00 PM,13,RICH PE 230 KV  RIC-WAN,RICH PE 230 KV  RIC-WAN,L500.HopeCreek-RedLion.5015
4/20/2019 9:00:00 AM,4/20/2019 5:00:00 AM,4/20/2019 12:00:00 PM,4/20/2019 8:00:00 AM,3,FACEROCK69 KV   FAROZBR,FACEROCK69 KV   FAROZBR,L500.Conastone-PeachBottom.5012
4/20/2019 7:00:00 AM,4/20/2019 3:00:00 AM,4/20/2019 8:00:00 AM,4/20/2019 4:00:00 AM,1,BELLEFON138 KV  T3,BELLEFON138 KV  T3,138/69/34.Bellefonte.T2
4/20/2019 7:00:00 AM,4/20/2019 3:00:00 AM,4/20/2019 8:00:00 AM,4/20/2019 4:00:00 AM,1,CASHCNDP230 KV  2135A,CASHCNDP230 KV  2135A,L500.MtStorm-Valley.550
4/20/2019 6:00:00 AM,4/20/2019 2:00:00 AM,4/20/2019 7:00:00 AM,4/20/2019 3:00:00 AM,1,HAZARD  161 KV  3,HAZARD  161 KV  3,ACTUAL
4/20/2019 5:00:00 AM,4/20/2019 1:00:00 AM,4/20/2019 6:00:00 AM,4/20/2019 2:00:00 AM,1,HAZARD  161 KV  3,HAZARD  161 KV  3,L765.Marysville-Sorenson
4/20/2019 4:00:00 AM,4/20/2019 12:00:00 AM,4/20/2019 7:00:00 PM,4/20/2019 3:00:00 PM,15,74 KEWAN L74B1Z3  SER DEV   B  138 KV,74 KEWAN L74B1Z3  SER DEV   B  138 KV,L138.Kewanee-Hennepin.6101
4/20/2019 4:00:00 AM,4/20/2019 12:00:00 AM,4/20/2019 6:00:00 AM,4/20/2019 2:00:00 AM,2,EASTON  69 KV   EAS-EMU,EASTON  69 KV   EAS-EMU,ACTUAL
4/20/2019 4:00:00 AM,4/20/2019 12:00:00 AM,4/20/2019 10:00:00 AM,4/20/2019 6:00:00 AM,6,NEWCASOE69 KV   TR1,NEWCASOE69 KV   TR1,ACTUAL
4/20/2019 4:00:00 AM,4/20/2019 12:00:00 AM,4/20/2019 5:00:00 AM,4/20/2019 1:00:00 AM,1,NIAGARA212 KV   .  1,NIAGARA212 KV   .  1,ACTUAL
4/20/2019 4:00:00 AM,4/20/2019 12:00:00 AM,4/20/2019 9:00:00 AM,4/20/2019 5:00:00 AM,5,RICH PE 230 KV  RIC-WAN,RICH PE 230 KV  RIC-WAN,L500.HopeCreek-RedLion.5015
4/19/2019 9:00:00 PM,4/19/2019 5:00:00 PM,4/20/2019 12:00:00 AM,4/19/2019 8:00:00 PM,3,FACEROCK69 KV   FAROZBR,FACEROCK69 KV   FAROZBR,ACTUAL
4/19/2019 9:00:00 PM,4/19/2019 5:00:00 PM,4/19/2019 11:00:00 PM,4/19/2019 7:00:00 PM,2,NEWCARLI138 KV  NEW-OLI1,NEWCARLI138 KV  NEW-OLI1,ACTUAL
4/19/2019 8:00:00 PM,4/19/2019 4:00:00 PM,4/19/2019 10:00:00 PM,4/19/2019 6:00:00 PM,2,BIGBY   115 KV  GSU1,BIGBY   115 KV  GSU1,ACTUAL
4/19/2019 8:00:00 PM,4/19/2019 4:00:00 PM,4/19/2019 10:00:00 PM,4/19/2019 6:00:00 PM,2,Kewanee-HennepinTap 6101 138kV l/o EKewanee-PrinceTp-LTVSteel-Hennepin 138kV,Kewanee-HennepinTap 6101 138kV l/o EKewanee-PrinceTp-LTVSteel-Hennepin 138kV,L138.EastKewanee-PrinceTap-LTVSteel-Hennepin.1552
4/19/2019 7:00:00 PM,4/19/2019 3:00:00 PM,4/19/2019 9:00:00 PM,4/19/2019 5:00:00 PM,2,EASTON  69 KV   EAS-EMU,EASTON  69 KV   EAS-EMU,ACTUAL
4/19/2019 7:00:00 PM,4/19/2019 3:00:00 PM,4/19/2019 9:00:00 PM,4/19/2019 5:00:00 PM,2,EUGENE  345 KV  EUG-CAY1,EUGENE  345 KV  EUG-CAY1,RAS.L765.Jefferson-Rockport + Rockport.U2
4/19/2019 7:00:00 PM,4/19/2019 3:00:00 PM,4/19/2019 9:00:00 PM,4/19/2019 5:00:00 PM,2,FACEROCK69 KV   FAROZBR,FACEROCK69 KV   FAROZBR,L500.Conastone-PeachBottom.5012
4/19/2019 7:00:00 PM,4/19/2019 3:00:00 PM,4/19/2019 8:00:00 PM,4/19/2019 4:00:00 PM,1,NEWCARLI138 KV  NEW-OLI1,NEWCARLI138 KV  NEW-OLI1,ACTUAL
4/19/2019 6:00:00 PM,4/19/2019 2:00:00 PM,4/19/2019 8:00:00 PM,4/19/2019 4:00:00 PM,2,RICH PE 230 KV  RIC-WAN,RICH PE 230 KV  RIC-WAN,L500.HopeCreek-RedLion.5015
4/19/2019 3:00:00 PM,4/19/2019 11:00:00 AM,4/19/2019 4:00:00 PM,4/19/2019 12:00:00 PM,1,BIGBY   115 KV  GSU1,BIGBY   115 KV  GSU1,ACTUAL
4/19/2019 3:00:00 PM,4/19/2019 11:00:00 AM,4/19/2019 7:00:00 PM,4/19/2019 3:00:00 PM,4,RICH PE 230 KV  RIC-WAN,RICH PE 230 KV  RIC-WAN,ACTUAL
4/19/2019 2:00:00 PM,4/19/2019 10:00:00 AM,4/19/2019 8:00:00 PM,4/19/2019 4:00:00 PM,6,BISHOPHI138 KV  TRAN 1,BISHOPHI138 KV  TRAN 1,ACTUAL
4/19/2019 2:00:00 PM,4/19/2019 10:00:00 AM,4/19/2019 4:00:00 PM,4/19/2019 12:00:00 PM,2,EASTON  69 KV   EAS-EMU,EASTON  69 KV   EAS-EMU,ACTUAL
4/19/2019 2:00:00 PM,4/19/2019 10:00:00 AM,4/19/2019 7:00:00 PM,4/19/2019 3:00:00 PM,5,GLENARM 115 KV  GLE-WIN2,GLENARM 115 KV  GLE-WIN2,L500.Brighton-Conastone
4/19/2019 2:00:00 PM,4/19/2019 10:00:00 AM,4/19/2019 4:00:00 PM,4/19/2019 12:00:00 PM,2,MCCARTER230 KV  MCC-STA,MCCARTER230 KV  MCC-STA,ACTUAL
4/19/2019 1:00:00 PM,4/19/2019 9:00:00 AM,4/19/2019 11:00:00 PM,4/19/2019 7:00:00 PM,10,Goodland-Reynolds 138 kV l/o Goodland-Remington 69 kV,Goodland-Reynolds 138 kV l/o Goodland-Remington 69 kV,Goodland-Remington 69 kV
4/19/2019 1:00:00 PM,4/19/2019 9:00:00 AM,4/19/2019 11:00:00 PM,4/19/2019 7:00:00 PM,10,LOGTOWN 138 KV  LOG-NDEL,LOGTOWN 138 KV  LOG-NDEL,L345.EastLima-MaddoxCreek
4/19/2019 1:00:00 PM,4/19/2019 9:00:00 AM,4/19/2019 5:00:00 PM,4/19/2019 1:00:00 PM,4,RAMAPO  138 KV  RAM-SMA,RAMAPO  138 KV  RAM-SMA,ACTUAL
4/19/2019 12:00:00 PM,4/19/2019 8:00:00 AM,4/19/2019 3:00:00 PM,4/19/2019 11:00:00 AM,3,NPHILADE230 KV  NPH-WAN,NPHILADE230 KV  NPH-WAN,L500.HopeCreek-RedLion.5015
4/19/2019 11:00:00 AM,4/19/2019 7:00:00 AM,4/19/2019 4:00:00 PM,4/19/2019 12:00:00 PM,5,GARDNERS115 KV  GAR-TEX,GARDNERS115 KV  GAR-TEX,L115.MiddletownJct-Collins.975 (Sctnlz)
4/19/2019 11:00:00 AM,4/19/2019 7:00:00 AM,4/19/2019 12:00:00 PM,4/19/2019 8:00:00 AM,1,MARQUIS2345 KV  MAR-DOE2,MARQUIS2345 KV  MAR-DOE2,L345.Pierce-Foster
4/19/2019 11:00:00 AM,4/19/2019 7:00:00 AM,4/19/2019 12:00:00 PM,4/19/2019 8:00:00 AM,1,MCCARTER230 KV  MCC-STA,MCCARTER230 KV  MCC-STA,ACTUAL
4/19/2019 10:00:00 AM,4/19/2019 6:00:00 AM,4/19/2019 3:00:00 PM,4/19/2019 11:00:00 AM,5,BELLEFON138 KV  T3,BELLEFON138 KV  T3,138/69/34.Bellefonte.T2
4/19/2019 10:00:00 AM,4/19/2019 6:00:00 AM,4/19/2019 1:00:00 PM,4/19/2019 9:00:00 AM,3,FACEROCK69 KV   FAROZBR,FACEROCK69 KV   FAROZBR,L500.Conastone-PeachBottom.5012
4/19/2019 10:00:00 AM,4/19/2019 6:00:00 AM,4/19/2019 5:00:00 PM,4/19/2019 1:00:00 PM,7,KRENDALE138 KV  KRE-SHA,KRENDALE138 KV  KRE-SHA,L500.Cabot-Cranberry
4/19/2019 10:00:00 AM,4/19/2019 6:00:00 AM,4/19/2019 1:00:00 PM,4/19/2019 9:00:00 AM,3,McCracken - Bryan Rd 161 kV l/o Shawnee - C31 Marshall 161 kV,McCracken - Bryan Rd 161 kV l/o Shawnee - C31 Marshall 161 kV,L161.Shawnee-Marshall.C31(TVA)
4/19/2019 10:00:00 AM,4/19/2019 6:00:00 AM,4/19/2019 12:00:00 PM,4/19/2019 8:00:00 AM,2,RAMAPO  138 KV  RAM-SMA,RAMAPO  138 KV  RAM-SMA,ACTUAL
4/19/2019 10:00:00 AM,4/19/2019 6:00:00 AM,4/19/2019 5:00:00 PM,4/19/2019 1:00:00 PM,7,RICH PE 230 KV  RIC-WAN,RICH PE 230 KV  RIC-WAN,L500.HopeCreek-RedLion.5015
4/19/2019 9:00:00 AM,4/19/2019 5:00:00 AM,4/19/2019 10:00:00 AM,4/19/2019 6:00:00 AM,1,DUMONT2 765 KV  T3,DUMONT2 765 KV  T3,L765.Dumont-Greentown
4/19/2019 8:00:00 AM,4/19/2019 4:00:00 AM,4/19/2019 10:00:00 AM,4/19/2019 6:00:00 AM,2,ESAYRE  115 KV  ESA-NWA,ESAYRE  115 KV  ESA-NWA,L230.ETowanda-Hillside.2002 [NYISO]
4/19/2019 7:00:00 AM,4/19/2019 3:00:00 AM,4/19/2019 7:00:00 PM,4/19/2019 3:00:00 PM,12,BERWICK 69 KV   BER-KOO,BERWICK 69 KV   BER-KOO,L230.Columbia-Montour
4/19/2019 7:00:00 AM,4/19/2019 3:00:00 AM,4/19/2019 8:00:00 AM,4/19/2019 4:00:00 AM,1,DUMONT2 765 KV  T3,DUMONT2 765 KV  T3,L765.Dumont-Greentown
