datetime_beginning_utc,datetime_beginning_ept,datetime_ending_utc,datetime_ending_ept,duration,day_ahead_congestion_event,monitored_facility,contingency_facility
4/20/2020 9:00:00 PM,4/20/2020 5:00:00 PM,4/20/2020 11:00:00 PM,4/20/2020 7:00:00 PM,2,BUTLER  69 KV   BUT-SHE,BUTLER  69 KV   BUT-SHE,L69.Sherman-Vineland.0761
4/20/2020 8:00:00 PM,4/20/2020 4:00:00 PM,4/20/2020 10:00:00 PM,4/20/2020 6:00:00 PM,2,BAGLEY  230 KV  BAG-GRAC,BAGLEY  230 KV  BAG-GRAC,ACTUAL
4/20/2020 6:00:00 PM,4/20/2020 2:00:00 PM,4/20/2020 7:00:00 PM,4/20/2020 3:00:00 PM,1,TMI     500 KV  1 BANK,TMI     500 KV  1 BANK,500/230.Conastone.500-4
4/20/2020 5:00:00 PM,4/20/2020 1:00:00 PM,4/20/2020 8:00:00 PM,4/20/2020 4:00:00 PM,3,BAGLEY  230 KV  BAG-GRAC,BAGLEY  230 KV  BAG-GRAC,L500.Brighton-Conastone.5011
4/20/2020 4:00:00 PM,4/20/2020 12:00:00 PM,4/20/2020 5:00:00 PM,4/20/2020 1:00:00 PM,1,11323   138 KV  11323 1,11323   138 KV  11323 1,L345.Nelson-ElectricJunction.15502
4/20/2020 3:00:00 PM,4/20/2020 11:00:00 AM,4/20/2020 9:00:00 PM,4/20/2020 5:00:00 PM,6,SCOTTSVI138 KV  SCO-BRE1,SCOTTSVI138 KV  SCO-BRE1,L230.Bremo-ForkUnion.2193 (Future)
4/20/2020 2:00:00 PM,4/20/2020 10:00:00 AM,4/20/2020 4:00:00 PM,4/20/2020 12:00:00 PM,2,BOWIE   115 KV  BOW-LAN5,BOWIE   115 KV  BOW-LAN5,ACTUAL
4/20/2020 12:00:00 PM,4/20/2020 8:00:00 AM,4/20/2020 1:00:00 PM,4/20/2020 9:00:00 AM,1,EDGEWATE138 KV  EDG-VAS,EDGEWATE138 KV  EDG-VAS,L500.SouthBend-Yukon
4/20/2020 12:00:00 PM,4/20/2020 8:00:00 AM,4/20/2020 2:00:00 PM,4/20/2020 10:00:00 AM,2,THELMA  69 KV   THE-THE1,THELMA  69 KV   THE-THE1,L345.Spurlock-NorthClark
4/20/2020 11:00:00 AM,4/20/2020 7:00:00 AM,4/20/2020 12:00:00 PM,4/20/2020 8:00:00 AM,1,BLAIRSVE138 KV  BLA-SOC,BLAIRSVE138 KV  BLA-SOC,L500.Keystone-SouthBend.5001(513)
4/20/2020 11:00:00 AM,4/20/2020 7:00:00 AM,4/20/2020 12:00:00 PM,4/20/2020 8:00:00 AM,1,SHELOCTA230 KV  NO2,SHELOCTA230 KV  NO2,L500.Keystone-SouthBend.5001(513)
4/20/2020 11:00:00 AM,4/20/2020 7:00:00 AM,4/20/2020 5:00:00 PM,4/20/2020 1:00:00 PM,6,TMI     500 KV  1 BANK,TMI     500 KV  1 BANK,500/230.Conastone.500-4
4/20/2020 10:00:00 AM,4/20/2020 6:00:00 AM,4/20/2020 11:00:00 PM,4/20/2020 7:00:00 PM,13,974 ZION345 KV  PLPL41,974 ZION345 KV  PLPL41,L345.Zion-Pleasant Prairie.2221
4/20/2020 10:00:00 AM,4/20/2020 6:00:00 AM,4/20/2020 4:00:00 PM,4/20/2020 12:00:00 PM,6,BAGLEY  230 KV  BAG-GRAC,BAGLEY  230 KV  BAG-GRAC,L500.Brighton-Conastone.5011
4/20/2020 10:00:00 AM,4/20/2020 6:00:00 AM,4/20/2020 11:00:00 AM,4/20/2020 7:00:00 AM,1,DOEX530 345 KV  203T,DOEX530 345 KV  203T,ACTUAL
4/20/2020 10:00:00 AM,4/20/2020 6:00:00 AM,4/20/2020 7:00:00 PM,4/20/2020 3:00:00 PM,9,LENOX-NMESHOPP NML 1090     B  115 KV,LENOX-NMESHOPP NML 1090     B  115 KV,L230.ETowanda-Hillside.2002 [NYISO]
4/20/2020 10:00:00 AM,4/20/2020 6:00:00 AM,4/20/2020 6:00:00 PM,4/20/2020 2:00:00 PM,8,PETERS  138 KV  PET-UNI,PETERS  138 KV  PET-UNI,L500.Harrison-WylieRidge.530
4/20/2020 9:00:00 AM,4/20/2020 5:00:00 AM,4/20/2020 10:00:00 AM,4/20/2020 6:00:00 AM,1,BAGLEY  230 KV  BAG-GRAC,BAGLEY  230 KV  BAG-GRAC,ACTUAL
4/20/2020 9:00:00 AM,4/20/2020 5:00:00 AM,4/20/2020 11:00:00 AM,4/20/2020 7:00:00 AM,2,BLAIRSVE138 KV  BLA-SOC,BLAIRSVE138 KV  BLA-SOC,L500.SouthBend-Yukon
4/20/2020 9:00:00 AM,4/20/2020 5:00:00 AM,4/20/2020 10:00:00 AM,4/20/2020 6:00:00 AM,1,DOEX530 345 KV  208T,DOEX530 345 KV  208T,ACTUAL
4/20/2020 7:00:00 AM,4/20/2020 3:00:00 AM,4/20/2020 8:00:00 AM,4/20/2020 4:00:00 AM,1,DOEX530 345 KV  208T,DOEX530 345 KV  208T,ACTUAL
